CCLE_ID	depMapID	Name	Pathology	Site_Primary	Site_Subtype1	Site_Subtype2	Site_Subtype3	Histology	Hist_Subtype1	Hist_Subtype2	Hist_Subtype3	Gender	Life_Stage	Age	Race	Geo_Loc	inferred_ethnicity	Site_Of_Finding	Disease	Annotation_Source	Original.Source.of.Cell.Line	Characteristics	Growth.Medium	Supplements	Freezing.Medium	Doubling.Time.from.Vendor	Doubling.Time.Calculated.hrs	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	tcga_code
CORL23_LUNG	ACH-000662	COR-L23	metastasis	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male		62	caucasian		Caucasian			CCLE	ECAAC	adherent	RPMI 1640 + 10%FBS	2mM L-glutamine	5% DMSO		33.4	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	137.3378769	NSCLC	NSCLC_large_cell		NA
MORCPR_LUNG	ACH-000851	MOR/CPR	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS			NA			Caucasian		Lung Cancer	CCLE	ECACC	aggregates in suspension	RPMI-1640+ 10%FBS	2mM glutamine; 1ug/ml cisplatin	5%DMSO		NA	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	232.8053039	NSCLC	NSCLC_adenocarcinoma		LUAD
HARA_LUNG	ACH-000843	HARA	metastasis	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		57	asian		Asian		Lung Cancer	CCLE	HSRRB	ADHERENT; fast grower	RPMI-1640+10% FBS	NA	5% DMSO		63.7	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	233.5534525	NSCLC	NSCLC_squamous		LUSC
SKOV3_OVARY	ACH-000811	SK-OV-3	metastasis	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		64	caucasian		Caucasian	ascites	ovarian_cancer	CCLE	NIBRI						NA	ovary	ovary	Ovary:Carcinoma	198.9679444	ovary_adenocarcinoma	endometrioid		OV
HPAFII_PANCREAS	ACH-000094	HPAF-II	metastasis	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		44	caucasian		Caucasian	ascites		CCLE	ATCC	ADHERENT EPITHELIAL;	EMEM+10% FBS	NA	5%DMSO		79	pancreas	pancreas	Pancreas:Carcinoma	85.29688898	exocrine	exocrine_adenocarcinoma		PAAD
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000583	MC116	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	B_cell_lymphoma_unspecified	NS	NS	male		NA			Caucasian	pleura	undifferentiated B lymphoma	CCLE	ATCC	SUSPENSION LYMPHOBLASTS	RPMI-1640+20%FBS	NA	5%DMSO	26-28 hrs	44.4	lymphoma_other	B-cell_lymphoma_other	Lymphoma:NH_B_cell	132.9188091	non_hodgkin_lymphoma	b_cell		DLBC
NCIH1568_LUNG	ACH-000869	NCI-H1568	metastasis	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	female		48	caucasian		Caucasian	lymph_node		CCLE	ATCC	adherent	RPMI+10%FBS	NA	5% DMSO		67	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	238.7618945	NSCLC	NSCLC_adenocarcinoma		LUAD
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000440	CA46	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male		NA			Asian	ascites		CCLE	ATCC	Adherent	RPMI + 10 % FBS	NA	5%DMSO		25.7	lymphoma_Burkitt	lymphoma_Burkitt	Lymphoma:NH_B_cell	135.0411689	non_hodgkin_lymphoma	b_cell_burkitt		DLBC
A498_KIDNEY	ACH-000555	A-498	primary	kidney	NS	NS	NS	carcinoma	renal_cell_carcinoma	NS	NS	male		52			Caucasian		renal_cell_carcinoma	CCLE		adherent	EMEM+10%FBS	NA	5%DMSO		53.6	kidney	kidney	Kidney:Carcinoma	108.0383796	renal_cell_carcinoma			KIRC
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000923	BCP-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	B_cell_lymphoma_unspecified	NS	NS	male		92			Caucasian			CCLE	ATCC	Supsension	RPMI +20% FBS	NA	5%DMSO		NA	lymphoma_other	B-cell_lymphoma_other	Lymphoma:NH_B_cell	353.1008508	non_hodgkin_lymphoma	b_cell		DLBC
A673_BONE	ACH-000052	A-673	primary	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	female		15			Caucasian		Ewings_sarcoma	CCLE	NIBRI						NA	Ewings_Sarcoma	Ewings_sarcoma	Bone:Sarcoma_Ewing	61.21045057	Ewing_sarcoma		EWS_FLI	SARC
AU565_BREAST	ACH-000248	AU565	metastasis	breast	NS	NS	NS	carcinoma	NS	NS	NS	female		43	caucasian		Caucasian	pleura	breast_cancer	CCLE	ATCC	Adherenet	RPMI 1640 + 10%FBS	NA	5% DMSO		74.1	breast	breast	Breast:Carcinoma	223.3824299	breast_adenocarcinoma	ERneg_HER2pos	HER2_amp	BRCA
COLO201_LARGE_INTESTINE	ACH-000253	COLO 201	metastasis	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		70	caucasian		Caucasian	ascites	colon_cancer	CCLE		Suspension with some loosely attached cells	RPMI-1640+10% FBS	NA	5%DMSO		NA	colorectal	colorectal	Colorectal:Carcinoma	94.61007254	colorectal_adenocarcinoma			COAD/READ
CAPAN1_PANCREAS	ACH-000354	Capan-1	metastasis	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		40	caucasian		Caucasian	liver		CCLE	ATCC	Adherent	IMDM +20% FBS	NA	5%DMSO		148.4	pancreas	pancreas	Pancreas:Carcinoma	94.4755242	exocrine	exocrine_adenocarcinoma		PAAD
NCIH1563_LUNG	ACH-000892	NCI-H1563	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		NA			Caucasian			CCLE	ATCC	adherent	RPMI+10%FBS	NA	5% DMSO		165.5	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	272.0403023	NSCLC	NSCLC_adenocarcinoma		LUAD
NCIH358_LUNG	ACH-000860	NCI-H358	primary	lung	NS	NS	NS	carcinoma	bronchioloalveolar_adenocarcinoma	NS	NS	male		NA			Caucasian		bronchioalveolar_carcinoma; non-small_cell lung_cancer	CCLE	ATCC	adherenet	RPMI+10%FBS	NA	5%DMSO		73.9	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	218.724336	NSCLC	NSCLC_adenocarcinoma		LUAD
CFPAC1_PANCREAS	ACH-000138	CFPAC-1	metastasis	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		26	caucasian		Caucasian	liver		CCLE		mixed line  ~ 50-50	IMDM+10%fbs	NA	5%DMSO		80.2	pancreas	pancreas	Pancreas:Carcinoma	79.90153548	exocrine	exocrine_adenocarcinoma		PAAD
NIHOVCAR3_OVARY	ACH-000001	NIH:OVCAR-3	metastasis	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female		60	caucasian		Caucasian	ascites	ovarian_cancer	CCLE	ATCC	adherenet; epithelial	RPMI+20%FBS	NA	5%DMSO		NA	ovary	ovary	Ovary:Carcinoma	83.80695109	ovary_adenocarcinoma	high_grade_serous		OV
NCIH1650_LUNG	ACH-000035	NCI-H1650	metastasis	lung	NS	NS	NS	carcinoma	bronchioloalveolar_adenocarcinoma	NS	NS	male		27	caucasian		Caucasian	pleura	lung_cancer	CCLE	ATCC	adherent; epithelial	RPMI+10%FBS	NA	5%DMSO		52.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	60.12771707	NSCLC	NSCLC_adenocarcinoma		LUAD
NCIH1793_LUNG	ACH-000888	NCI-H1793	primary	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	female		52			Caucasian			CCLE	ATCC	adherent; epithelial	DMEM:F12	plethora; see sheet	5% DMSO		98.1	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	282.9219689	NSCLC	NSCLC_adenocarcinoma		LUAD
NCIH1437_LUNG	ACH-000589	NCI-H1437	metastasis	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		6	caucasian		Caucasian	pleura	lung_cancer	CCLE	ATCC	Adherent	RPMI+10%FBS	NA	5% DMSO		48.6	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	126.2080661	NSCLC	NSCLC_adenocarcinoma		LUAD
KNS62_LUNG	ACH-000858	KNS-62	metastasis	lung	bronchus	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		49			Asian			CCLE	ATCC	adherent	EMEM +20%FBS	NA	5% DMSO		59.2	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	223.1421586	NSCLC	NSCLC_squamous		LUSC
HS578T_BREAST	ACH-000148	Hs 578T	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		74	caucasian		Caucasian		breast_cancer	CCLE	ATCC	Adherent	DMEM +10 %FBS	NA	5%DMSO		47.9	breast	breast	Breast:Carcinoma	93.3026384	breast_carcinoma	ERneg_HER2neg	basal_B	BRCA
BT20_BREAST	ACH-000536	BT-20	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		74	caucasian		Caucasian		breast_cancer	CCLE	NIBRI						NA	breast	breast	Breast:Carcinoma	114.1400879	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	BRCA
SNU182_LIVER	ACH-000483	SNU-182	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		24	asian	korea	Asian		hepatocellular_cancer	CCLE	NIBRI						NA	liver	liver	Liver:HCC	140.778944	hepatocellular_carcinoma			LIHC
SKNMC_BONE	ACH-000039	SK-N-MC	metastasis	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	female		14	caucasian		Caucasian	supra_orbital_area	neuroepithelioma	CCLE	ATCC	Adherent epithelial.	EMEM + 10% FBS	NA	5% DMSO		32.9	Ewings_Sarcoma	Ewings_sarcoma	Bone:Sarcoma_Ewing	53.24884517	Ewing_sarcoma		EWS_FLI	SARC
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000061	HH	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	adult_T_cell_lymphoma-leukaemia	NS	NS	male		61	caucasian		Caucasian		cutaneous T cell lymphoma	CCLE	NIBRI						NA	T-cell_ALL	T-cell_ALL	Leukemia:ALL	79.63113609	non_hodgkin_lymphoma	t_cell_cutaneous		ALL
FADU_UPPER_AERODIGESTIVE_TRACT	ACH-000846	FaDu	primary	upper_aerodigestive_tract	pharynx	hypopharynx	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		56	caucasian		Caucasian			CCLE	NIBRI						33.3	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	193.3167422	upper_aerodigestive_squamous			HNSC
SJRH30_SOFT_TISSUE	ACH-001189	SJRH30	metastasis	soft_tissue	striated_muscle	NS	NS	rhabdomyosarcoma	NS	NS	NS	male		17	caucasian		Caucasian	bone_marrow		CCLE	NA	NA	NA	NA	NA	NA	NA	soft_tissue	soft_tissue	NA	NA	rhabdomyosarcoma			NA
MDAMB361_BREAST	ACH-000934	MDA-MB-361	metastasis	breast	NS	NS	NS	carcinoma	NS	NS	NS	female		40	caucasian		Caucasian	central_nervous_system	breast_cancer	CCLE	ATCC	loosely adherent epithelial	RPMI-20% FBS	NA	5% DMSO		168.2	breast	breast	Breast:Carcinoma	413.9923146	breast_carcinoma	ERpos_HER2pos	HER2_amp	BRCA
MDAMB436_BREAST	ACH-000573	MDA-MB-436	metastasis	breast	NS	NS	NS	carcinoma	NS	NS	NS	female		43	caucasian		Caucasian	pleura	breast_cancer	CCLE	ATCC	Adherent	RPMI-1640 + 10% FBS	10ug/ml bovine insulin; 16ug/ml glutathione	5%DMSO		58.6	breast	breast	Breast:Carcinoma	151.8206873	breast_carcinoma	ERneg_HER2neg	basal_B	BRCA
PANC0213_PANCREAS	ACH-000031	Panc 02.13	primary	pancreas	NS	NS	NS	carcinoma	NS	NS	NS	female		64	caucasian		Caucasian			CCLE	NIBRI						NA	pancreas	pancreas	Pancreas:Carcinoma	53.8707524	exocrine	exocrine_adenocarcinoma		PAAD
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000334	DB	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	male		45	caucasian		Caucasian	ascites	germinal center B-cell-like (GCB) DLBCL	CCLE	ATCC	suspension	RPMI-1640 + 10% FBS	NA	5%DMSO		52.6	lymphoma_DLBCL	lymphoma_DLBCL	Lymphoma:NH_B_cell	120.7925694	non_hodgkin_lymphoma	DLBCL		DLBC
RDES_BONE	ACH-000041	RD-ES	primary	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	male		19	caucasian		Caucasian		Ewing family tumor	CCLE	NIBRI						NA	Ewings_Sarcoma	Ewings_sarcoma	Bone:Sarcoma_Ewing	75.29215428	Ewing_sarcoma		EWS_FLI	SARC
CAL27_UPPER_AERODIGESTIVE_TRACT	ACH-000832	CAL 27	primary	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		56	caucasian		Caucasian			CCLE	NIBRI						29.3	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	186.1487595	upper_aerodigestive_squamous			HNSC
MESSA_SOFT_TISSUE	ACH-000449	MES-SA	primary	soft_tissue	fibrous_tissue_and_uncertain_origin	uterus	NS	sarcoma	NS	NS	NS	female		56	caucasian		Caucasian			CCLE	ATCC	Fibroblast  adherent	McCoy's 5A + 10%FBS	NA	5%DMSO		35.3	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Others	121.3182747	uterine_sarcoma			SARC
SW1271_LUNG	ACH-000890	SW 1271	primary	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		69	caucasian		Caucasian			CCLE	ATCC	adherent; epithelial	Leibovitz's L-15 Medium + 10%FBS	NA	5%DMSO		NA	lung_small_cell	lung_small_cell	Lung:SCLC	261.0557486	SCLC			SCLC
NCIH1792_LUNG	ACH-000496	NCI-H1792	metastasis	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		50	caucasian		Caucasian	pleura		CCLE	ATCC	adherent	RPMI+10%FBS	NA	5% DMSO		31.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	125.0865901	NSCLC	NSCLC_adenocarcinoma		LUAD
GCT_SOFT_TISSUE	ACH-000835	GCT	metastasis	soft_tissue	fibrous_tissue_and_uncertain_origin	NS	NS	malignant_fibrous_histiocytoma-pleomorphic_sarcoma	NS	NS	NS	male		29			Caucasian	lung		CCLE	NIBRI						64.6	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_FibrousHistiocytoma	179.4906831	pleomorphic_sarcoma			SARC
SKBR3_BREAST	ACH-000017	SK-BR-3	metastasis	breast	NS	NS	NS	carcinoma	NS	NS	NS	female		43	caucasian		Caucasian	pleura	breast_cancer	CCLE	NIBRI						95.3	breast	breast	Breast:Carcinoma	170.5817104	breast_carcinoma	ERneg_HER2pos	HER2_amp	BRCA
SNU16_STOMACH	ACH-000581	SNU-16	metastasis	stomach	NS	NS	NS	carcinoma	undifferentiated_adenocarcinoma	NS	NS	female		33	asian		Asian	ascites		CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	154.3977156	gastric_adenocarcinoma			STAD
NCIH82_LUNG	ACH-000355	NCI-H82	metastasis	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		41	caucasian		Caucasian	pleura		CCLE	ATCC	adherent; epithelial	RPMI+10%FBS	NA	5% DMSO		21.6	lung_small_cell	lung_small_cell	Lung:SCLC	108.504952	SCLC			SCLC
NCIN87_STOMACH	ACH-000427	NCI-N87	metastasis	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male		NA			African_american	liver		CCLE		Epithelial adherent	RPMI1640+10%FBS	NA	5%DMSO		76.7	stomach	stomach	Gastric:Carcinoma	111.3392806	gastric_adenocarcinoma	tubular		STAD
U2OS_BONE	ACH-000364	U-2 OS	primary	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female		15	caucasian		Caucasian		bone_cancer	CCLE	ATCC	Adherent	McCoy's 5A +10%FBS	NA	5% DMSO		NA	osteosarcoma	osteosarcoma	Bone:Sarcoma_Osteo	103.6905353	osteosarcoma			SARC
H4_CENTRAL_NERVOUS_SYSTEM	ACH-000389	H4	primary	central_nervous_system	NS	NS	NS	glioma	NS	NS	NS	male		37	caucasian		Caucasian			CCLE	NIBRI						35.6	glioma	glioma	CNS:Glioma	108.47913	glioma			LGG
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000081	GDM-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	female		66	caucasian		Caucasian			CCLE	NIBRI						NA	AML	AML	Leukemia:AML	83.72081463	AML			LAML
HCC1143_BREAST	ACH-000374	HCC1143	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		52	caucasian		Caucasian		breast_cancer	CCLE	ATCC	Adherent	RPMI+10%FBS	NA	5%DMSO		214.2	breast	breast	Breast:Carcinoma	113.6520826	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	BRCA
T24_URINARY_TRACT	ACH-000018	T24	primary	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	female		81	caucasian		Caucasian		transitional_cell_carcinoma	CCLE	ATCC	Adherent epithelial	McCoy's 5A +10%	NA	5%DMSO		38.8	urinary_tract	urinary_tract	Bladder:Carcinoma	94.67528958	bladder_carcinoma			BLCA
G401_SOFT_TISSUE	ACH-000096	G-401	primary	soft_tissue	striated_muscle	kidney	NS	rhabdoid_tumour	NS	NS	NS	male		0.25	caucasian		Caucasian		rhabdoid_tumour	CCLE	NIBRI						NA	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Rhabdoid	90.26965062	malignant_rhabdoid_tumor			SARC
HCC1937_BREAST	ACH-000223	HCC1937	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		24	caucasian		Caucasian		ductal_carcinoma	CCLE	ATCC	adherent; line grows as large epithelial cells with tendency to float at high cell  densitites	RPMI-1640+10% FBS	NA	5%DMSO		88.8	breast	breast	Breast:Carcinoma	82.85897134	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	BRCA
HCC1569_BREAST	ACH-000930	HCC1569	primary	breast	NS	NS	NS	carcinoma	metaplastic_carcinoma	NS	NS	female		70	african_american		African_american		metaplastic_breast_carcinoma	CCLE		mixed	RPMI1640+10%FBS	NA	5%DMSO		NA	breast	breast	Breast:Carcinoma	486.8665091	breast_carcinoma	ERneg_HER2pos	basal_A	BRCA
OCUM1_STOMACH	ACH-000247	OCUM-1	primary	stomach	NS	NS	NS	carcinoma	diffuse_adenocarcinoma	NS	NS	female		38	asian	japan	Asian			CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	133.8681685	gastric_adenocarcinoma	diffuse_gastric		STAD
SAOS2_BONE	ACH-000410	Saos-2	primary	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female		11	caucasian		Caucasian		osteosarcoma	CCLE	NIBRI	Adherent epithelial	McCoy's 5A +15%FBS	NA	5%DMSO		181.8	osteosarcoma	osteosarcoma	Bone:Sarcoma_Osteo	109.3601177	osteosarcoma			SARC
D283MED_CENTRAL_NERVOUS_SYSTEM	ACH-000055	D283 Med	metastasis	central_nervous_system	cerebellum	NS	NS	primitive_neuroectodermal_tumour-medulloblastoma	NS	NS	NS	male		6	caucasian		Caucasian	peritoneum		CCLE	NIBRI						243.4	medulloblastoma	medulloblastoma	CNS:Medulloblastoma	85.48175072	medulloblastoma	med_group_3	MYC_exp	MB
SCC9_UPPER_AERODIGESTIVE_TRACT	ACH-000181	SCC-9	primary	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		25			Caucasian		head_neck_cancer	CCLE	NIBRI						NA	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	80.66946436	upper_aerodigestive_squamous			HNSC
HCC1395_BREAST	ACH-000699	HCC1395	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		43	caucasian		Caucasian			CCLE	ATCC	ADHERENT EPITHELIAL	RPMI-10% FBS	NA	5% DMSO		107.3	breast	breast	Breast:Carcinoma	131.1519698	breast_ductal_carcinoma	ERneg_HER2neg	basal_B	BRCA
NMCG1_CENTRAL_NERVOUS_SYSTEM	ACH-000200	NMC-G1	primary	central_nervous_system	brain	NS	NS	glioma	NS	NS	NS			NA			Asian			CCLE	HSSRB	Adherent	DMEM +10%FBS	NA	5% DMSO		137.9	glioma	glioma	CNS:Glioma	99.42966602	glioma	glioblastoma		LGG
TEN_ENDOMETRIUM	ACH-000397	TEN	primary	endometrium	NS	NS	NS	carcinoma	clear_cell_carcinoma	NS	NS	female		74	asian		Asian		Endometrial Cancer	CCLE	RIKEN		MEM + 10% FBS	NA	5%DMSO		178.9	endometrium	endometrium	Endometrium:Carcinoma	147.1543657	clear_cell_carcinoma			UCEC
HS604T_FIBROBLAST	ACH-001093	Hs 604.T	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	male		21	caucasian		Caucasian			CCLE	ATCC	Adherent	DMEM +10 %FBS	NA	5%DMSO		NA	lymphoma_Hodgkin	fibroblast_like	NA	NA	fibroblast_lymphocyte			NA
TE9_OESOPHAGUS	ACH-000694	TE-9	primary	oesophagus	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		NA			Asian			CCLE	RIKEN	Adherent	RPMI 1640 + 10%FBS		5% DMSO		106.5	esophagus	esophagus	Oesophagus:Carcinoma	161.0305019	esophagus_squamous			ESCA
KNS42_CENTRAL_NERVOUS_SYSTEM	ACH-000622	KNS-42	primary	central_nervous_system	brain	NS	NS	glioma	NS	NS	NS	male		16			Asian			CCLE	HSSRB	Adherent	EMEM + 5% FBS	NA	5% DMSO		79.7	glioma	glioma	CNS:Glioma	168.9199906	glioma	glioblastoma		LGG
KYSE520_OESOPHAGUS	ACH-000637	KYSE-520	primary	oesophagus	lower_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	female		58	asian	japan	Asian			CCLE	DSMZ	Adherent	RPMI 1640 +10%FBS	NA	5% DMSO		121.8	esophagus	esophagus	Oesophagus:Carcinoma	168.9136858	esophagus_squamous			ESCA
KYSE270_OESOPHAGUS	ACH-000873	KYSE-270	primary	oesophagus	middle_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		79	asian	japan	Asian			CCLE	DSMZ	Adherent	RPMI + 10 % FBS	NA	5% DMSO		153.6	esophagus	esophagus	Oesophagus:Carcinoma	245.3804386	esophagus_squamous			ESCA
JHUEM1_ENDOMETRIUM	ACH-000928	JHUEM-1	primary	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		56	asian	japan	Asian		Endometrial Cancer	CCLE	RIKEN	adherent with some suspension cells	DMEM:F12(1:1) +15%FBS	NA	5% DMSO		288.6	endometrium	endometrium	Endometrium:Carcinoma	434.989757	endometrial_adenocarcinoma			UCEC
YH13_CENTRAL_NERVOUS_SYSTEM	ACH-000469	YH-13	primary	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male		40			Asian			CCLE	HSSRB	Adherent	EMEM + 20% FBS	NA	5% DMSO		77.1	glioma	glioma	CNS:Glioma_HighGrade	159.4333834	glioma	glioblastoma		GBM
IALM_LUNG	ACH-000672	IA-LM	metastasis	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male		68	asian	japan	Asian	skin		CCLE	RIKEN	ADHERENT EPITHELIAL;	HAMSF10+ 10% FBS	NA	5% DMSO		143.2	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	196.5950713	NSCLC	NSCLC_large_cell		NA
NCIH2052_PLEURA	ACH-000153	NCI-H2052	metastasis	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male		65	caucasian		Caucasian	pleura		CCLE	ATCC	adherent	RPMI-1640  +10 % FBS	NA	5% DMSO		194.2	mesothelioma	mesothelioma	Lung:Mesothelioma	89.75888173	mesothelioma			MESO
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001064	EB2	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	female		7	african_american		African_american	ovary		CCLE	NA	NA	NA	NA	NA	NA	NA	lymphoma_Burkitt	lymphoma_Burkitt	NA	NA	non_hodgkin_lymphoma	b_cell_burkitt		NA
SKNFI_AUTONOMIC_GANGLIA	ACH-000341	SK-N-FI	metastasis	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	male		11	caucasian		Caucasian	bone_marrow	neuroblastoma	CCLE	NIBRI						NA	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	112.135783	neuroblastoma			NB
SKNAS_AUTONOMIC_GANGLIA	ACH-000260	SK-N-AS	primary	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	female		6	caucasian		Caucasian		neuroblastoma	CCLE	ATCC	Adherent	DMEM + 10% FBS	0.1mM NEAA	5%DMSO		55.9	neuroblastoma	neuroblastoma	PNET:Neuroblastoma	93.765726	neuroblastoma			NB
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000162	GA-10	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male		41	caucasian		Caucasian			CCLE	ATCC	suspension, lymphoblast	RPMI-1640 + 10% FBS	NA	5%DMSO		51.6	lymphoma_Burkitt	lymphoma_Burkitt	Lymphoma:NH_B_cell	91.70436082	non_hodgkin_lymphoma	b_cell_burkitt		DLBC
SNU398_LIVER	ACH-000221	SNU-398	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		42	asian	korea	Asian			CCLE	NIBRI						NA	liver	liver	Liver:HCC	127.2397008	hepatocellular_carcinoma			LIHC
SNU423_LIVER	ACH-000493	SNU-423	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		40	asian	korea	Asian		pleomorphic hepatocellular carcinoma	CCLE	NIBRI						NA	liver	liver	Liver:HCC	141.3075379	hepatocellular_carcinoma			LIHC
SCC4_UPPER_AERODIGESTIVE_TRACT	ACH-000238	SCC-4	primary	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		55			Caucasian			CCLE	NIBRI						NA	upper_aerodigestive	upper_aerodigestive	Upper_Aerodigestive_Tract:Carcinoma	97.45092224	upper_aerodigestive_squamous	oral		HNSC
